start,end,avg_speed
2018-08-16T18:15:00.000Z,2018-08-16T18:20:00.000Z,0.0
2018-08-17T01:50:00.000Z,2018-08-17T01:55:00.000Z,0.0
2018-08-17T08:25:00.000Z,2018-08-17T08:30:00.000Z,0.0
2018-08-14T07:50:00.000Z,2018-08-14T07:55:00.000Z,0.0
2018-08-16T09:40:00.000Z,2018-08-16T09:45:00.000Z,113.75
2018-08-14T08:55:00.000Z,2018-08-14T09:00:00.000Z,0.0
2018-08-15T23:40:00.000Z,2018-08-15T23:45:00.000Z,0.0
2018-08-16T11:25:00.000Z,2018-08-16T11:30:00.000Z,0.0
2018-08-17T02:25:00.000Z,2018-08-17T02:30:00.000Z,0.0
2018-08-14T03:45:00.000Z,2018-08-14T03:50:00.000Z,0.0
2018-08-14T04:30:00.000Z,2018-08-14T04:35:00.000Z,0.0
2018-08-14T04:20:00.000Z,2018-08-14T04:25:00.000Z,0.0
2018-08-14T11:35:00.000Z,2018-08-14T11:40:00.000Z,0.0
2018-08-16T23:35:00.000Z,2018-08-16T23:40:00.000Z,0.0
2018-08-17T08:30:00.000Z,2018-08-17T08:35:00.000Z,131.85
2018-08-17T14:40:00.000Z,2018-08-17T14:45:00.000Z,114.86
2018-08-14T05:05:00.000Z,2018-08-14T05:10:00.000Z,0.0
2018-08-16T06:40:00.000Z,2018-08-16T06:45:00.000Z,108.34
2018-08-16T09:10:00.000Z,2018-08-16T09:15:00.000Z,0.0
2018-08-16T16:05:00.000Z,2018-08-16T16:10:00.000Z,0.0
2018-08-16T23:40:00.000Z,2018-08-16T23:45:00.000Z,14.97
2018-08-14T03:05:00.000Z,2018-08-14T03:10:00.000Z,0.0
2018-08-16T19:25:00.000Z,2018-08-16T19:30:00.000Z,0.0
2018-08-16T18:00:00.000Z,2018-08-16T18:05:00.000Z,0.0
2018-08-16T18:55:00.000Z,2018-08-16T19:00:00.000Z,14.84
2018-08-14T10:35:00.000Z,2018-08-14T10:40:00.000Z,0.0
2018-08-17T11:45:00.000Z,2018-08-17T11:50:00.000Z,80.49
2018-08-16T13:20:00.000Z,2018-08-16T13:25:00.000Z,0.0
2018-08-16T23:45:00.000Z,2018-08-16T23:50:00.000Z,0.0
2018-08-17T03:15:00.000Z,2018-08-17T03:20:00.000Z,113.21
2018-08-14T03:30:00.000Z,2018-08-14T03:35:00.000Z,0.0
2018-08-16T08:20:00.000Z,2018-08-16T08:25:00.000Z,0.0
2018-08-16T20:00:00.000Z,2018-08-16T20:05:00.000Z,207.12
2018-08-17T11:20:00.000Z,2018-08-17T11:25:00.000Z,0.0
2018-08-14T02:30:00.000Z,2018-08-14T02:35:00.000Z,0.0
2018-08-14T10:00:00.000Z,2018-08-14T10:05:00.000Z,0.0
2018-08-14T10:45:00.000Z,2018-08-14T10:50:00.000Z,0.0
2018-08-16T15:40:00.000Z,2018-08-16T15:45:00.000Z,30.41
2018-08-17T10:45:00.000Z,2018-08-17T10:50:00.000Z,0.0
2018-08-16T14:55:00.000Z,2018-08-16T15:00:00.000Z,103.68
2018-08-16T21:55:00.000Z,2018-08-16T22:00:00.000Z,0.0
2018-08-17T06:00:00.000Z,2018-08-17T06:05:00.000Z,0.0
2018-08-16T15:30:00.000Z,2018-08-16T15:35:00.000Z,7.49
2018-08-16T17:40:00.000Z,2018-08-16T17:45:00.000Z,130.17
2018-08-17T06:10:00.000Z,2018-08-17T06:15:00.000Z,0.0
2018-08-17T17:15:00.000Z,2018-08-17T17:20:00.000Z,143.47
2018-08-14T03:15:00.000Z,2018-08-14T03:20:00.000Z,0.0
2018-08-17T11:35:00.000Z,2018-08-17T11:40:00.000Z,191.15
2018-08-14T05:30:00.000Z,2018-08-14T05:35:00.000Z,0.0
2018-08-17T10:35:00.000Z,2018-08-17T10:40:00.000Z,0.0
2018-08-14T10:55:00.000Z,2018-08-14T11:00:00.000Z,0.0
2018-08-16T22:30:00.000Z,2018-08-16T22:35:00.000Z,215.75
2018-08-16T23:05:00.000Z,2018-08-16T23:10:00.000Z,0.0
2018-08-17T15:40:00.000Z,2018-08-17T15:45:00.000Z,0.0
2018-08-14T09:55:00.000Z,2018-08-14T10:00:00.000Z,0.0
2018-08-16T09:35:00.000Z,2018-08-16T09:40:00.000Z,0.0
2018-08-16T11:30:00.000Z,2018-08-16T11:35:00.000Z,19.89
2018-08-17T06:45:00.000Z,2018-08-17T06:50:00.000Z,0.0
2018-08-17T18:05:00.000Z,2018-08-17T18:10:00.000Z,0.0
2018-08-14T05:40:00.000Z,2018-08-14T05:45:00.000Z,0.0
2018-08-16T15:15:00.000Z,2018-08-16T15:20:00.000Z,0.0
2018-08-16T23:10:00.000Z,2018-08-16T23:15:00.000Z,0.0
2018-08-16T10:10:00.000Z,2018-08-16T10:15:00.000Z,59.37
2018-08-17T02:55:00.000Z,2018-08-17T03:00:00.000Z,203.29
2018-08-17T16:45:00.000Z,2018-08-17T16:50:00.000Z,0.0
2018-08-14T02:00:00.000Z,2018-08-14T02:05:00.000Z,60.34
2018-08-17T00:10:00.000Z,2018-08-17T00:15:00.000Z,32.55
2018-08-17T01:20:00.000Z,2018-08-17T01:25:00.000Z,0.0
2018-08-17T06:15:00.000Z,2018-08-17T06:20:00.000Z,0.0
2018-08-14T20:35:00.000Z,2018-08-14T20:40:00.000Z,0.0
2018-08-16T17:55:00.000Z,2018-08-16T18:00:00.000Z,0.0
2018-08-16T01:05:00.000Z,2018-08-16T01:10:00.000Z,115.13
2018-08-16T15:55:00.000Z,2018-08-16T16:00:00.000Z,0.0
2018-08-16T19:20:00.000Z,2018-08-16T19:25:00.000Z,0.0
2018-08-17T10:50:00.000Z,2018-08-17T10:55:00.000Z,0.0
2018-08-17T17:20:00.000Z,2018-08-17T17:25:00.000Z,170.89
2018-08-14T02:55:00.000Z,2018-08-14T03:00:00.000Z,0.0
2018-08-14T07:40:00.000Z,2018-08-14T07:45:00.000Z,0.0
2018-08-16T06:00:00.000Z,2018-08-16T06:05:00.000Z,75.44
2018-08-16T10:25:00.000Z,2018-08-16T10:30:00.000Z,53.27
2018-08-16T06:35:00.000Z,2018-08-16T06:40:00.000Z,98.4
2018-08-16T07:00:00.000Z,2018-08-16T07:05:00.000Z,187.75
2018-08-16T12:05:00.000Z,2018-08-16T12:10:00.000Z,155.92
2018-08-16T17:30:00.000Z,2018-08-16T17:35:00.000Z,214.52
2018-08-17T05:55:00.000Z,2018-08-17T06:00:00.000Z,0.0
2018-08-17T07:15:00.000Z,2018-08-17T07:20:00.000Z,0.0
2018-08-15T23:25:00.000Z,2018-08-15T23:30:00.000Z,45.72
2018-08-16T17:10:00.000Z,2018-08-16T17:15:00.000Z,171.04
2018-08-14T08:05:00.000Z,2018-08-14T08:10:00.000Z,0.0
2018-08-17T09:30:00.000Z,2018-08-17T09:35:00.000Z,0.0
